timestep simtime Ttrans Trot
3490 3.4900000000000002751e-12 2988.2041728101398803 1042.5761287187453945
3500 3.5000000000000004345e-12 2988.4619210064602157 1042.4193112717746317
3510 3.5100000000000001899e-12 2988.2872359297798539 1042.4210770442255125
3520 3.5200000000000003493e-12 2988.0409243635499479 1042.5971810246512632
3530 3.5300000000000001047e-12 2988.2729146449601103 1042.7052007775939728
3540 3.540000000000000264e-12 2988.2992665668898553 1042.7576074598357536
3550 3.5500000000000004234e-12 2988.2804581513100857 1042.8018920497377167
3560 3.5600000000000001788e-12 2987.9689967875401635 1043.0355663921593532
3570 3.5700000000000003382e-12 2988.0128585059101169 1042.9858577205818619
3580 3.5800000000000000936e-12 2988.1619037225200373 1043.0040200688486038
3590 3.5900000000000002529e-12 2988.0779956103801851 1043.0887791577208645
3600 3.6000000000000004123e-12 2988.2393026291301794 1042.8018934839944905
3610 3.6100000000000001677e-12 2988.2576215595099711 1042.7557242823334036
3620 3.620000000000000327e-12 2988.0167972800700227 1043.1865650879367422
3630 3.6300000000000000825e-12 2988.1054655487100717 1043.1260534250684486
3640 3.6400000000000006457e-12 2987.8732941556800142 1043.1405564831845822
3650 3.6499999999999999973e-12 2987.9967790726100247 1043.233960842809438
3660 3.6600000000000001566e-12 2987.6261882178700944 1043.3039209085898165
3670 3.6700000000000003159e-12 2988.2072432834102074 1042.9745669251733489
3680 3.6800000000000004753e-12 2988.2466378311100925 1042.9455156724122844
3690 3.6900000000000006346e-12 2988.1300934636201418 1042.979608328655786
3700 3.6999999999999999862e-12 2987.8395086397899831 1043.1453673890093796
3710 3.7100000000000001455e-12 2988.0582910260200151 1043.0599601380113199
3720 3.7200000000000003048e-12 2987.9250996064602077 1043.0629285415366212
3730 3.7300000000000004642e-12 2988.0191440274102206 1043.0765649813024538
3740 3.7400000000000006235e-12 2988.1522140489300909 1042.9989218791108669
3750 3.7499999999999999751e-12 2987.8228417123800682 1043.2024946016501872
3760 3.7600000000000001344e-12 2987.636420527880091 1043.507422318626368
3770 3.7700000000000002937e-12 2988.0123183449800308 1043.3845003807459761
3780 3.7800000000000004531e-12 2987.7384672008702182 1043.5420282011220934
